model,embed_dim,hidden_dim,num_layers,total_params,trainable_params,val_acc,test_acc,val_macro_f1,test_macro_f1,train_time_s,train_cfg
birnn,32,32,1,415202,33474,0.6993865030674846,0.6552210724365005,0.698361893971581,0.6356275341509021,151.41,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,32,2,440290,58562,0.7223926380368099,0.6994355597365945,0.7221808936390602,0.6762448121655389,528.46,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,64,1,497826,116098,0.6940184049079755,0.6857949200376293,0.6939663919224858,0.6742641304477467,989.93,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,64,2,597154,215426,0.6809815950920245,0.6726246472248354,0.6802112808903981,0.6601066014427304,643.54,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,96,1,629602,247874,0.7469325153374233,0.6984948259642522,0.7468842862621552,0.6840220077160096,328.78,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,96,2,852322,470594,0.7154907975460123,0.7079021636876763,0.7148668440703838,0.6951391372798224,554.25,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,64,32,1,805122,41666,0.7254601226993865,0.6952022577610536,0.7251750211344054,0.6816918174357306,250.2,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,64,32,2,830210,66754,0.7384969325153374,0.6900282220131703,0.738429094545508,0.6779939116814584,432.07,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,64,64,1,895938,132482,0.7346625766871165,0.6984948259642522,0.7345220639287892,0.6846800132628358,168.17,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,64,64,2,995266,231810,0.7269938650306749,0.720131702728128,0.7266234500433422,0.7100200423312006,708.72,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,64,96,1,1035906,272450,0.7216257668711656,0.7036688617121355,0.7208441575674297,0.6808912116784982,159.84,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,64,96,2,1258626,495170,0.7116564417177914,0.7267168391345249,0.7115743453267542,0.7119734919896514,695.45,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,96,32,1,1195042,49858,0.6947852760736196,0.7229539040451552,0.6931220435193945,0.7012525447048548,194.57,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,96,32,2,1220130,74946,0.7055214723926381,0.7234242709313264,0.7053655275972689,0.7081742800582677,294.2,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,96,64,1,1294050,148866,0.7384969325153374,0.7262464722483537,0.7384930877662843,0.7173099699519669,253.36,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,96,64,2,1393378,248194,0.7369631901840491,0.6984948259642522,0.736307998332735,0.6903403455377153,275.4,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,96,96,1,1442210,297026,0.7476993865030674,0.7163687676387582,0.7475377016901397,0.6983946651170505,396.82,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,96,96,2,1664930,519746,0.7239263803680982,0.715898400752587,0.723691738298218,0.7075117828582986,853.04,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
